开奖日期,期号,销售额,开奖结果
2021-07-03,21075,306666791,"06,14,15,17,20,01,05"
2021-06-30,21074,289189592,"11,14,18,20,25,03,07"
2021-06-28,21073,280274335,"08,12,14,20,24,06,10"
2021-06-26,21072,303912550,"02,03,15,22,26,03,11"
2021-06-23,21071,285731730,"08,11,16,29,35,01,04"
2021-06-21,21070,289443325,"03,20,21,22,24,06,12"
2021-06-19,21069,314771219,"01,03,24,32,33,04,06"
2021-06-16,21068,291893269,"02,20,21,26,30,02,10"
2021-06-14,21067,281023856,"01,04,22,23,34,08,09"
2021-06-12,21066,311082841,"24,26,29,34,35,09,11"
2021-06-09,21065,297780859,"23,25,30,31,35,07,08"
2021-06-07,21064,294413689,"01,17,19,32,34,06,10"
2021-06-05,21063,320996162,"05,09,14,29,30,09,11"
2021-06-02,21062,302275847,"04,06,23,32,34,05,07"
2021-05-31,21061,304392970,"15,19,20,26,32,04,07"
2021-05-29,21060,328214576,"09,13,25,31,33,03,07"
2021-05-26,21059,310375326,"04,16,27,28,35,02,09"
2021-05-24,21058,341604964,"13,15,17,23,34,01,11"
2021-05-22,21057,364226316,"05,07,19,20,28,05,07"
2021-05-19,21056,339616577,"03,11,16,21,26,09,10"
2021-05-17,21055,340947213,"03,06,10,11,24,10,11"
2021-05-15,21054,372706677,"03,06,17,20,25,03,09"
2021-05-12,21053,352261603,"03,06,15,17,35,07,11"
2021-05-10,21052,346174575,"02,11,13,14,30,09,12"
2021-05-08,21051,378483472,"01,04,14,16,19,03,04"
2021-05-05,21050,332629347,"09,22,32,33,35,05,10"
2021-05-03,21049,318983261,"01,10,22,23,25,02,12"
2021-05-01,21048,361695321,"04,07,17,21,27,10,12"
2021-04-28,21047,361812479,"01,06,09,25,33,04,08"
2021-04-26,21046,359217248,"06,08,12,14,18,06,08"
2021-04-24,21045,393747066,"01,04,06,11,19,07,09"
2021-04-21,21044,363597797,"06,18,31,33,35,10,11"
2021-04-19,21043,360667332,"07,12,17,19,34,01,10"
2021-04-17,21042,393684367,"09,15,20,23,29,04,05"
2021-04-14,21041,359992265,"02,05,09,11,32,04,09"
2021-04-12,21040,359580080,"02,03,09,16,19,03,07"
2021-04-10,21039,392788008,"04,12,14,21,35,02,11"
2021-04-07,21038,279043760,"09,11,20,29,32,01,07"
2021-04-05,21037,265069172,"10,21,27,29,33,04,12"
2021-04-03,21036,293009078,"08,17,25,28,33,07,11"
2021-03-31,21035,282083604,"05,11,16,30,32,03,04"
2021-03-29,21034,287989728,"08,10,14,25,34,07,08"
2021-03-27,21033,315951286,"01,03,05,30,32,01,05"
2021-03-24,21032,294833370,"01,11,14,34,35,07,10"
2021-03-22,21031,291035602,"01,04,19,20,34,03,05"
2021-03-20,21030,310047645,"18,23,25,26,32,02,07"
2021-03-17,21029,291997028,"02,06,10,32,33,04,07"
2021-03-15,21028,290397846,"02,03,05,17,29,04,10"
2021-03-13,21027,300185659,"09,21,22,26,30,04,12"
2021-03-10,21026,276425219,"07,11,20,24,27,01,11"
2021-03-08,21025,276142896,"17,18,23,30,31,10,12"
2021-03-06,21024,290054173,"11,14,21,24,31,02,10"
2021-03-03,21023,269669045,"07,09,13,16,32,02,09"
2021-03-01,21022,267988268,"02,12,22,30,33,02,04"
2021-02-27,21021,292083963,"16,18,29,33,35,09,12"
2021-02-24,21020,266285933,"07,21,22,30,33,04,06"
2021-02-22,21019,268699087,"01,12,13,28,29,03,04"
2021-02-20,21018,289120482,"02,20,23,26,34,05,10"
2021-02-08,21017,335358205,"17,21,26,29,32,02,07"
2021-02-06,21016,311054206,"08,09,10,19,34,01,02"
2021-02-03,21015,272319625,"04,08,17,19,25,01,07"
2021-02-01,21014,268530082,"07,13,20,27,29,04,09"
2021-01-30,21013,293461597,"21,27,28,30,34,08,11"
2021-01-27,21012,267411208,"06,12,20,23,33,01,09"
2021-01-25,21011,264730145,"06,09,11,14,21,01,03"
2021-01-23,21010,292800978,"01,05,16,22,34,08,11"
2021-01-20,21009,270385175,"01,03,20,29,32,05,12"
2021-01-18,21008,267627406,"05,19,20,27,33,03,08"
2021-01-16,21007,290613639,"05,23,30,34,35,08,10"
2021-01-13,21006,273199546,"04,22,25,28,35,04,05"
2021-01-11,21005,270292542,"03,07,10,12,35,03,05"
2021-01-09,21004,287870674,"05,10,17,23,28,02,08"
2021-01-06,21003,271582391,"07,21,28,31,35,04,10"
2021-01-04,21002,278003685,"02,16,26,31,34,09,11"
2021-01-02,21001,301287873,"02,06,12,19,33,08,09"
2020-12-30,20134,279450044,"08,11,13,22,25,04,07"
2020-12-28,20133,278817951,"11,24,26,33,35,08,09"
2020-12-26,20132,305220768,"03,15,16,17,21,07,10"
2020-12-23,20131,276280604,"08,25,27,29,35,02,03"
2020-12-21,20130,275873752,"16,17,23,26,32,02,12"
2020-12-19,20129,299215239,"10,22,27,33,34,01,11"
2020-12-16,20128,274958597,"09,12,13,26,33,04,10"
2020-12-14,20127,276778645,"01,04,17,18,26,03,10"
2020-12-12,20126,298548217,"01,04,09,22,28,04,12"
2020-12-09,20125,275346986,"01,02,03,08,22,01,04"
2020-12-07,20124,278064291,"11,15,24,26,35,04,05"
2020-12-05,20123,304863915,"01,07,11,15,21,04,11"
2020-12-02,20122,281651508,"08,19,29,34,35,06,11"
2020-11-30,20121,278202603,"09,17,27,28,35,03,08"
2020-11-28,20120,301311242,"05,25,26,30,35,04,10"
2020-11-25,20119,274272049,"14,22,24,28,32,07,08"
2020-11-23,20118,275653893,"01,09,15,30,33,04,09"
2020-11-21,20117,295676112,"07,19,20,23,24,05,10"
2020-11-18,20116,281698423,"08,10,12,16,22,03,09"
2020-11-16,20115,284014718,"01,09,18,19,23,01,09"
2020-11-14,20114,311221154,"10,12,21,24,30,03,07"
2020-11-11,20113,281010096,"06,14,18,28,33,02,05"
2020-11-09,20112,278836720,"08,11,13,30,32,02,06"
2020-11-07,20111,305503745,"05,07,09,20,28,02,07"
2020-11-04,20110,282491639,"11,16,20,21,28,05,11"
2020-11-02,20109,278965485,"02,20,21,23,32,06,12"
2020-10-31,20108,304680045,"02,03,06,07,33,08,09"
2020-10-28,20107,282777346,"01,04,13,17,28,03,07"
2020-10-26,20106,277207977,"02,03,11,14,27,04,10"
2020-10-24,20105,301070175,"03,08,12,13,22,04,12"
2020-10-21,20104,276928873,"03,12,23,26,30,04,07"
2020-10-19,20103,273609545,"07,12,13,19,23,02,08"
2020-10-17,20102,290224663,"07,11,18,20,29,09,12"
2020-10-14,20101,270291174,"03,04,05,09,34,07,09"
2020-10-12,20100,274948701,"04,05,08,22,33,07,10"
2020-10-10,20099,301168262,"02,03,11,15,27,04,12"
2020-10-07,20098,264989928,"04,09,15,24,35,04,10"
2020-10-05,20097,225919953,"05,25,27,30,34,06,12"
2020-09-30,20096,282876912,"07,08,10,25,28,03,11"
